"year","state","state_po","total_house","DEMOCRAT_House","OTHER_House","REPUBLICAN_House","LIBERTARIAN_House","total_senate","DEMOCRAT_Senate","LIBERTARIAN_Senate","OTHER_Senate","REPUBLICAN_Senate","total_president","DEMOCRAT_President","LIBERTARIAN_President","OTHER_President","REPUBLICAN_President"
1976,"ALABAMA","AL",2728482,58.26,0.12,48.3,0,0,0,0,0,0,1182850,55.73,0.13,1.53,42.61
1976,"ALASKA","AK",118208,28.93,0.25,70.83,0,0,0,0,0,0,123574,35.65,5.49,0.95,57.9
1976,"ARIZONA","AZ",1626123,48.8,5.68,46.7,2.32,741210,54.01,0.99,1.66,43.34,742719,39.8,1.03,2.8,56.37
1976,"ARKANSAS","AR",503997,77.59,0,22.41,0,0,0,0,0,0,767535,64.96,0,0.13,34.9
1976,"CALIFORNIA","CA",17235407,55.68,3.2,43.76,0,7470586,46.89,0,2.93,50.18,7803770,47.95,0,2.3,49.75
1976,"COLORADO","CO",1979691,44.54,3.06,52.58,0,0,0,0,0,0,1081440,42.61,0.49,2.87,54.03
1976,"CONNECTICUT","CT",4700193,50.56,0.46,48.3,0,1361666,41.2,0,1.1,57.7,1386355,46.73,0,1.38,51.88
1976,"DELAWARE","DE",1075425,47.61,0.24,51.44,0,224795,43.61,0,0.58,55.81,235642,51.97,0,1.44,46.59
1976,"FLORIDA","FL",4709797,54.06,2.55,50.28,0,2857534,62.97,0,0,37.02,3150631,51.93,0,1.43,46.64
1976,"GEORGIA","GA",2239818,74.25,0.05,32.6,0,0,0,0,0,0,1463152,66.94,0,0,33.06
1976,"HAWAII","HI",899600,62.71,6.6,26.44,1.41,302092,53.73,0.46,5.18,40.62,291301,50.59,1.35,0,48.06
1976,"IDAHO","ID",341907,47.35,0,52.65,0,0,0,0,0,0,340932,37.12,1.04,1.96,59.88
1976,"ILLINOIS","IL",7529734,51.46,0.21,48.39,0,0,0,0,0,0,4721282,48.11,0.17,1.64,50.08
1976,"INDIANA","IN",4675207,55.46,0.8,47.38,0,2161187,40.19,0,0.78,59.03,2220362,45.7,0,0.98,53.32
1976,"IOWA","IA",2269460,57.12,0.58,42.4,0,0,0,0,0,0,1279303,48.46,0.11,1.96,49.47
1976,"KANSAS","KS",2173308,38.34,1.22,59.96,0,0,0,0,0,0,957845,44.94,0,2.58,52.49
1976,"KENTUCKY","KY",2791984,61.24,1.01,41.92,0,0,0,0,0,0,1167142,52.75,0.07,1.61,45.57
1976,"LOUISIANA","LA",2082826,61.53,7.63,49.79,0,0,0,0,0,0,1277383,51.77,0.25,1.99,45.99
1976,"MAINE","ME",692722,31.97,3.24,66.53,0,486193,60.2,0,0,39.8,482968,48.09,0,2.98,48.93
1976,"MARYLAND","MD",3065697,59.96,10.01,38.95,0,1365290,56.55,0,4.6,38.85,1432273,53.04,0,0,46.96
